generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-36.579,-7986.5,10,1
50000,25,212.7,-1668.58,24.7143,0.313
100000,29,242.679,-1246.15,26.4816,0.256
150000,29,246.672,-1044.39,22.6813,0.242
200000,38,330.398,-996.211,30.2456,0.256
250000,28,236.542,-951.235,47.6355,0.254
300000,46,379.874,-881.963,47.8818,0.233
350000,50,408.856,-835.469,46.2372,0.243
400000,46,378.663,-896.001,31.6743,0.241
450000,37,303.741,-765.305,33.0472,0.227
500000,55,446.894,-749.004,65.5461,0.236
550000,59,478.442,-826.742,41.99,0.24
600000,46,379.874,-779.296,37.2538,0.254
650000,62,513.081,-776.47,56.5753,0.244
700000,46,374.634,-750.583,39.5305,0.232
750000,59,489.924,-806.182,58.9233,0.25
800000,48,398.309,-723.632,42.451,0.207
850000,47,397.166,-791.141,36.5184,0.246
900000,53,434.306,-703.195,45.0282,0.249
950000,74,606.162,-659.895,57.8679,0.247
1000000,83,686.045,-695.06,94.7331,0.254
1050000,43,360.437,-714.288,49.201,0.235
1100000,47,387.031,-641.208,41.2184,0.232
1150000,57,461.804,-685.668,56.7389,0.249
1200000,59,485.027,-744.62,43.5987,0.24
1250000,62,507.108,-758.126,53.5812,0.25
1300000,70,587.203,-720.257,55.8604,0.238
1350000,86,673.562,-689.084,83.6017,0.236
1400000,90,730.874,-713.871,81.9397,0.245
1450000,74,596.779,-756.625,64.5757,0.234
1500000,61,498.151,-718.837,51.2823,0.23
1550000,78,634.896,-682.437,69.6377,0.262
1600000,90,725.126,-689.834,91.8714,0.249
1650000,93,768.772,-644.946,83.6233,0.254
1700000,77,620.223,-653.739,68.2471,0.255
1750000,44,364.055,-644.558,40.1993,0.232
1800000,81,647.908,-702.979,82.6407,0.239
1850000,76,620.967,-679.911,71.9287,0.235
1900000,73,595.189,-705.744,64.2836,0.249
1950000,74,602.78,-653.374,64.3267,0.224
2000000,82,677.289,-700.692,60.0982,0.246
2050000,72,604.357,-681.27,63.7833,0.238
2100000,96,799.826,-709.5,91.9654,0.276
2150000,86,700.509,-659.447,85.8405,0.241
2200000,87,727.563,-614.389,71.7092,0.247
2250000,69,567.684,-672.43,65.0042,0.239
2300000,66,534.786,-612.135,70.8604,0.218
2350000,93,770.037,-609.206,91.4602,0.217
2400000,100,805.277,-589.257,116.253,0.244
2450000,95,775.876,-560.083,89.9721,0.222
2500000,76,600.215,-621.439,71.6096,0.238
2550000,107,864.599,-620.029,97.2289,0.246
2600000,76,618.498,-623.624,67.5118,0.237
2650000,108,867.933,-579.178,117.412,0.226
2700000,85,705.515,-566.828,69.7567,0.229
2750000,110,904.524,-633.441,102.384,0.251
2800000,104,844.915,-616.552,94.5708,0.224
2850000,88,709.2,-641.594,88.6929,0.225
2900000,99,801.607,-583.392,73.0392,0.211
2950000,96,790.918,-606.963,80.9543,0.238
3000000,89,719.147,-642.054,75.1026,0.228
3050000,96,747.192,-610.772,99.2205,0.226
3100000,88,723.072,-644.23,79.8119,0.238
3150000,77,627.102,-668.135,67.5454,0.246
3200000,91,756.542,-709.409,93.893,0.247
3250000,97,796.271,-716.306,102.188,0.248
3300000,96,798.201,-671.8,74.4141,0.246
3350000,111,880.749,-626.057,103.711,0.219
3400000,112,921.295,-572.487,101.795,0.226
3450000,92,740.255,-627.257,83.211,0.266
3500000,100,823.988,-630.221,87.5073,0.217
3550000,115,939.729,-642.106,108.036,0.227
3600000,121,972.16,-638.084,104.926,0.232
3650000,121,974.107,-603.45,107.131,0.241
3700000,124,1000.25,-700.518,126.353,0.246
3750000,101,825.31,-725.443,99.7835,0.238
3800000,63,509.622,-604.786,67.49,0.205
3850000,112,894.042,-688.453,127.131,0.217
3900000,116,928.951,-668.458,101.194,0.25
3950000,84,681.281,-652.19,78.5576,0.242
4000000,85,674.108,-666.717,85.8973,0.234
4050000,94,751.887,-628.893,109.302,0.251
4100000,96,766.134,-685.972,75.7484,0.263
4150000,103,820.205,-631.498,103.416,0.212
