generation,rank_1,rank_2,swapAccepted
1000,1,2,1
2000,3,4,0
3000,2,3,1
4000,1,3,0
5000,2,3,0
6000,3,4,1
7000,1,2,0
8000,2,3,0
9000,2,3,0
10000,3,4,0
11000,1,3,0
12000,2,4,0
13000,1,4,0
14000,1,2,0
15000,3,4,0
16000,2,3,0
17000,2,3,0
18000,1,4,0
19000,1,2,0
20000,2,4,0
21000,1,3,0
22000,3,4,0
23000,2,3,0
24000,2,3,0
25000,1,3,0
26000,1,2,0
27000,2,4,0
28000,2,3,0
29000,2,4,0
30000,3,4,0
31000,2,3,0
32000,1,3,0
33000,3,4,0
34000,1,2,0
35000,1,4,0
36000,3,4,0
37000,1,3,0
38000,3,4,0
39000,1,4,0
40000,2,3,0
41000,2,4,0
42000,2,3,0
43000,2,3,0
44000,1,3,0
45000,1,3,0
46000,1,4,0
47000,2,3,0
48000,1,4,0
49000,2,3,0
50000,2,3,0
51000,3,4,0
52000,1,2,0
53000,2,3,0
54000,1,4,0
55000,3,4,0
56000,3,4,0
57000,2,4,0
58000,1,4,0
59000,1,3,0
60000,1,3,0
61000,1,4,0
62000,1,3,0
63000,2,3,0
64000,1,4,0
65000,1,3,0
66000,2,4,0
67000,2,3,0
68000,1,2,0
69000,3,4,0
70000,2,3,0
71000,1,2,0
72000,1,3,0
73000,2,4,0
74000,1,3,0
75000,1,2,0
76000,2,4,0
77000,3,4,0
78000,1,3,0
79000,2,4,0
80000,2,4,0
81000,3,4,0
82000,2,4,0
83000,3,4,0
84000,1,3,0
85000,1,3,0
86000,3,4,0
87000,1,3,0
88000,3,4,0
89000,2,3,0
90000,1,4,0
91000,2,3,0
92000,2,3,0
93000,2,4,0
94000,3,4,0
95000,2,3,0
96000,3,4,0
97000,1,2,0
98000,1,3,0
99000,2,4,0
100000,2,3,0
101000,1,2,0
102000,1,4,0
103000,3,4,0
104000,2,4,0
105000,1,4,0
106000,2,3,0
107000,2,4,0
108000,1,3,0
109000,3,4,0
110000,1,2,0
111000,1,2,0
112000,2,3,0
113000,2,4,0
114000,2,4,0
115000,2,4,0
116000,1,4,0
117000,3,4,0
118000,1,4,0
119000,1,3,0
120000,3,4,0
121000,1,3,0
122000,2,4,0
123000,1,2,0
124000,2,3,0
125000,1,4,0
126000,1,4,0
127000,1,2,0
128000,2,3,0
129000,2,4,0
130000,2,3,0
131000,1,4,0
132000,1,2,0
133000,2,4,0
134000,2,4,0
135000,1,3,0
136000,1,4,0
137000,1,3,0
138000,1,4,0
139000,3,4,0
140000,2,4,0
141000,1,2,0
142000,1,4,0
143000,1,2,0
144000,1,2,0
145000,1,2,0
146000,1,4,0
147000,3,4,0
148000,1,2,0
149000,1,4,0
150000,2,3,0
151000,1,2,0
152000,3,4,0
153000,2,4,0
154000,2,3,0
155000,3,4,0
156000,2,4,0
157000,1,2,0
158000,1,4,0
159000,2,4,0
160000,2,3,0
161000,3,4,0
162000,2,3,0
163000,1,2,0
164000,3,4,0
165000,1,3,0
166000,3,4,0
167000,2,4,0
168000,1,3,0
169000,2,3,0
170000,1,4,0
171000,1,2,0
172000,1,4,0
173000,1,3,0
174000,1,3,0
175000,3,4,0
176000,1,2,0
177000,1,3,0
178000,2,3,0
179000,2,3,0
180000,2,4,0
181000,1,2,0
182000,1,4,0
183000,3,4,0
184000,3,4,0
185000,1,2,0
186000,2,3,0
187000,3,4,0
188000,2,3,0
189000,3,4,0
190000,3,4,0
191000,3,4,0
192000,1,4,0
193000,2,4,0
194000,2,3,0
195000,1,3,0
196000,1,4,0
197000,1,2,0
198000,1,4,0
199000,1,2,0
200000,1,3,0
201000,2,3,0
202000,1,3,0
203000,1,2,0
204000,1,3,0
205000,1,2,0
206000,1,3,0
207000,2,3,0
208000,1,4,0
209000,1,2,0
210000,1,3,0
211000,2,4,0
212000,1,2,0
213000,1,3,0
214000,2,3,0
215000,1,4,0
216000,2,3,0
217000,2,4,0
218000,2,3,0
219000,1,2,0
220000,1,2,0
221000,1,3,0
222000,1,2,0
223000,1,2,0
224000,1,4,0
225000,2,3,0
226000,1,3,0
227000,2,3,0
228000,1,3,0
229000,1,3,0
230000,3,4,0
231000,2,3,0
232000,1,3,0
233000,1,4,0
234000,2,3,0
235000,1,4,0
236000,1,3,0
237000,2,4,0
238000,3,4,0
239000,2,4,0
240000,2,3,0
241000,1,4,0
242000,1,2,0
243000,1,4,0
244000,1,2,0
245000,2,4,0
246000,3,4,0
247000,2,4,0
248000,1,2,0
249000,2,3,0
250000,3,4,0
251000,3,4,0
252000,2,3,0
253000,1,4,0
254000,3,4,0
255000,1,4,0
256000,3,4,0
257000,2,3,0
258000,3,4,0
259000,1,3,0
260000,2,4,0
261000,1,2,0
262000,1,4,0
263000,3,4,0
264000,1,4,0
265000,2,3,0
266000,2,4,0
267000,1,2,0
268000,1,3,0
269000,1,3,0
270000,3,4,0
271000,1,3,0
272000,2,4,0
273000,1,4,0
274000,1,2,0
275000,2,4,0
276000,1,4,0
277000,2,4,0
278000,1,3,0
279000,1,2,0
280000,1,4,0
281000,2,4,0
282000,3,4,0
283000,2,4,0
284000,1,2,0
285000,1,3,0
286000,2,4,0
287000,3,4,0
288000,2,4,0
289000,1,4,0
290000,3,4,0
291000,3,4,0
292000,1,4,0
293000,3,4,0
294000,3,4,0
295000,2,4,0
296000,1,4,0
297000,2,4,0
298000,1,3,0
299000,1,2,0
300000,1,3,0
301000,1,2,0
302000,1,2,0
303000,1,2,0
304000,2,3,0
305000,3,4,0
306000,2,4,0
307000,2,3,0
308000,1,4,0
309000,1,3,0
310000,1,4,0
311000,2,3,0
312000,2,4,0
313000,1,4,0
314000,1,3,0
315000,1,4,0
316000,2,3,0
317000,2,4,0
318000,1,4,0
319000,1,3,0
320000,2,3,0
321000,3,4,0
322000,2,3,0
323000,1,3,0
324000,1,3,0
325000,1,4,0
326000,1,3,0
327000,1,4,0
328000,1,2,0
329000,1,3,0
330000,3,4,0
331000,1,3,0
332000,1,2,0
333000,1,2,0
334000,1,2,0
335000,1,3,0
336000,3,4,0
337000,1,4,0
338000,1,4,0
339000,3,4,0
340000,2,3,0
341000,1,4,0
342000,1,3,0
343000,1,2,0
344000,1,2,0
345000,3,4,0
346000,2,4,0
347000,3,4,0
348000,2,4,0
349000,3,4,0
350000,1,3,0
351000,2,4,0
352000,1,2,0
353000,1,3,0
354000,2,4,0
355000,1,4,0
356000,1,4,0
357000,3,4,0
358000,2,3,0
359000,1,2,0
360000,1,4,0
361000,2,3,0
362000,1,4,0
363000,3,4,0
364000,1,2,0
365000,1,2,0
366000,3,4,0
367000,2,3,0
368000,1,3,0
369000,1,3,0
370000,1,4,0
371000,2,3,0
372000,1,3,0
373000,2,3,0
374000,1,4,0
375000,3,4,0
376000,1,3,0
377000,3,4,0
378000,1,3,0
379000,3,4,0
380000,2,3,0
381000,1,2,0
382000,1,3,0
383000,2,4,0
384000,1,2,0
385000,2,4,0
386000,2,4,0
387000,3,4,0
388000,1,4,0
389000,3,4,0
390000,2,3,0
391000,1,4,0
392000,2,4,0
393000,1,2,0
394000,3,4,0
395000,2,4,0
396000,3,4,0
397000,1,2,0
398000,2,3,0
399000,3,4,0
400000,3,4,0
401000,1,3,0
402000,2,4,0
403000,3,4,0
404000,1,3,0
405000,1,2,0
406000,2,3,0
407000,2,3,0
408000,2,4,0
409000,2,3,0
410000,1,4,0
411000,1,3,0
412000,1,3,0
413000,1,2,0
414000,1,4,0
415000,3,4,0
416000,3,4,0
417000,1,2,0
418000,3,4,0
419000,1,2,0
420000,2,3,0
421000,2,3,0
422000,2,4,0
423000,2,3,0
424000,1,2,0
425000,3,4,0
426000,1,4,0
427000,1,3,0
428000,2,4,0
429000,3,4,0
430000,1,4,0
431000,1,3,0
432000,2,3,0
433000,1,3,0
434000,1,3,0
