generation,leftchild,rightchild,abstime,betainit,betashift
0,Leschenaultia,Isotoma,0,0.5,0
1000000,Leschenaultia,Isotoma,0,0.00149709,0
1000000,Zodion,NA,413.804,0.0224722,0.00148374
1000000,Xanthogramma,NA,333.834,0.00237028,-0.00401661
1000000,Pseudacteon,Lonchoptera,279.018,0.0119389,0.00203628
1000000,Psychodopygus,Phlebotomus,306.63,8.32782e-05,0.00121873
1000000,Lachnocnema,NA,441.277,0.001286,0.000872041
1000000,Zizeeria,Pseudopieris,284.943,0.00124258,-0.00223007
1000000,Tischeria,NA,416.562,0.0430862,-0.00288451
1000000,Oxyethira,NA,355.142,0.0053927,0.00136189
1000000,Prionoplus,NA,430.665,0.0392834,0.00153201
1000000,Leptura,Prionoplus,280.866,0.0242158,-0.00305243
1000000,Lasioderma,NA,430.676,0.00442736,0.00194058
1000000,Aiolomorphus,NA,388.605,0.031941,-0.00193249
1000000,Platygaster,Fidiobia,295.58,0.0113966,-0.00390864
1000000,Pachyprotasis,Sterictiphora,208.939,0.000404641,0.00110688
1000000,Runaria,NA,442.62,0.00902556,0.00351825
1000000,Xyloterinus,NA,372.408,0.0100774,0.00144502
1000000,Listronotus,Otiorhynchus,301.896,0.0049374,-0.00101025
1000000,Pelecotoma,NA,445.051,0.0692609,0.00177699
1000000,Endochus,NA,357.848,0.0167548,0.000755714
1000000,Megarhyssa,NA,444.764,0.0122744,-0.00240862
1000000,Nasonia,NA,417.669,0.00852009,-0.00502345
1000000,Dorypteryx,NA,292.195,0.000175512,-0.00131675
1000000,Eusilpha,NA,447.944,0.0236762,0.00544964
1000000,Lyctus,NA,300.56,0.0042813,-0.0030954
1000000,Maladera,Hoplia,303.305,0.000426516,-0.00351922
1000000,Photinus,NA,376.53,0.00198291,0.00368253
1000000,Elaphrus,NA,302.794,0.00298,-0.00282269
1000000,Orgilus,NA,390.728,0.00236788,-0.00127316
1000000,Ceratosolen,NA,432.03,0.0383687,-0.000997833
1000000,Cynips,NA,452.283,0.0682567,-0.00149963
1000000,Haplopus,NA,422.524,0.00237597,0.00318853
1000000,Neocylloepus,Protaetia,348.567,0.0125658,0.000165783
1000000,Pelidnota,Heterocerus,327.835,0.00576319,0.000618926
1000000,Anisodactylus,NA,421.265,0.00441278,0.00106051
1000000,Praon,NA,458.542,0.00738849,-0.00128161
1000000,Taeniogonalos,NA,367.52,0.00936078,-0.00378003
1000000,Hartigia,Janus,265.881,0.0029305,-0.00311084
1000000,Leschenaultia,Oreopasites,133.449,0.00450761,-0.00337907
1000000,Campylomma,NA,406.198,0.00423667,0.000395817
1000000,Bryocoris,Blepharidopterus,241.408,0.0080462,-0.0025368
1000000,Lisarda,NA,357.631,0.00362903,6.26633e-05
1000000,Thaumastella,NA,438.518,0.00493937,-0.00519262
