generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-37.6085,-7986.72,10,1
50000,28,238.853,-1490.63,20.0737,0.28
100000,25,215.82,-1221.23,33.6262,0.275
150000,39,324.957,-1067.11,30.8404,0.256
200000,37,304.101,-1075.4,30.21,0.248
250000,50,413.416,-1011.71,48.9487,0.253
300000,64,533.604,-863.427,62.6814,0.242
350000,75,647.712,-905.942,63.8328,0.252
400000,81,652.832,-874.99,80.3265,0.254
450000,85,696.726,-816.87,83.7546,0.243
500000,60,500.986,-804.907,59.6621,0.235
550000,87,715.348,-749.883,88.2139,0.247
600000,68,556.173,-771.675,61.1703,0.231
650000,79,656.122,-705.359,83.76,0.249
700000,80,659.77,-764.723,67.2101,0.235
750000,86,704.784,-834.997,72.8197,0.257
800000,71,580.574,-678.665,72.0997,0.251
850000,67,551.602,-684.062,59.5737,0.227
900000,80,660.798,-763.054,70.4758,0.255
950000,67,545.889,-702.504,53.5415,0.25
1000000,66,527.786,-722.686,64.7391,0.231
1050000,75,612.6,-684.592,80.4404,0.217
1100000,82,664.084,-684.625,76.2204,0.236
1150000,81,668.759,-656.542,70.9058,0.244
1200000,92,755.329,-617.997,100.887,0.256
1250000,93,769.743,-622.313,93.472,0.24
1300000,88,708.66,-651.673,77.7379,0.221
1350000,68,552.353,-649.257,59.0356,0.227
1400000,70,573.215,-675.283,62.7552,0.252
1450000,64,526.422,-694.01,65.3513,0.207
1500000,52,417.231,-704.21,46.5861,0.233
1550000,57,466.234,-786.652,55.9144,0.224
1600000,69,552.12,-732.341,76.6015,0.233
1650000,76,612.196,-712.282,78.0334,0.243
1700000,85,707.917,-703.565,96.1977,0.232
1750000,82,667.357,-664.169,79.4351,0.24
1800000,87,705.035,-674.551,80.0024,0.25
1850000,102,827.317,-601.189,99.1449,0.254
1900000,86,707.867,-707.876,74.7926,0.27
1950000,76,621.004,-675.755,60.5486,0.238
2000000,82,656.114,-705.546,65.0107,0.256
2050000,73,602.987,-630.595,67.9845,0.254
2100000,74,591.466,-616.735,77.4482,0.223
2150000,77,627.089,-701.097,67.1653,0.279
2200000,100,801.256,-625.915,103.312,0.223
2250000,93,747.705,-587.833,89.6454,0.25
2300000,103,851.605,-667.282,95.3235,0.255
2350000,85,708.952,-624.882,72.5629,0.227
2400000,80,666.593,-686.44,65.7229,0.251
2450000,71,590.251,-645.658,61.1637,0.268
2500000,87,712.276,-632.452,60.6174,0.236
2550000,89,719.092,-643.052,82.212,0.247
2600000,89,701.613,-619.265,62.9209,0.242
2650000,95,767.23,-578.011,77.7916,0.225
2700000,108,879.411,-553.548,93.9531,0.238
2750000,97,784.928,-573.55,77.9225,0.224
2800000,142,1137.48,-532.186,128.946,0.218
2850000,117,943.205,-560.087,115.083,0.242
2900000,125,995.941,-606.124,110.306,0.238
2950000,153,1228.18,-580.994,133.871,0.233
3000000,115,937.912,-570.573,105.492,0.222
3050000,120,988.797,-563.215,107.234,0.23
3100000,123,990.783,-559.5,123.439,0.227
3150000,101,822.964,-534.454,90.9358,0.225
3200000,111,896.974,-567.098,88.6379,0.243
3250000,123,997.144,-537.867,118.525,0.234
3300000,116,958.496,-564.952,113.815,0.225
3350000,87,712.472,-507.721,77.1653,0.224
3400000,141,1166.92,-525.599,146.509,0.231
3450000,85,685.081,-547.483,82.716,0.24
3500000,94,784.252,-537.015,97.7035,0.234
3550000,104,859.444,-638.613,98.3058,0.217
3600000,93,749.744,-640.068,71.3382,0.23
3650000,95,775.13,-564.52,92.8613,0.234
3700000,85,687.524,-613.379,66.1278,0.247
3750000,131,1061.47,-597.236,126.298,0.217
3800000,118,941.61,-618.687,101.269,0.223
3850000,130,1059.33,-513.595,109.302,0.233
