problem	name	updated_fullname	taxonomy_source	rank_matched	matched	score	ott_id	ncbi_id	name_source	matched_id_in_source	updated_genus	updated_genus_ott_id	updated_genus_ncbi_id	updated_species	updated_species_ott_id	updated_species_ncbi_id	updated_subspecies	ott_accepted_name	ott_version	higher_source	domain	kingdom	phylum	superclass	class	subclass	infraclass	order	suborder	infraorder	superfamily	family	subfamily	tribe	publication	ID	subgenus	section	species subgroup	species group
	Stenobothrus lineatus	Stenobothrus lineatus	OTT	species	Stenobothrus lineatus	98	228525	355390	OTT	228525	Stenobothrus	706823	142129	lineatus	228525	355390		Stenobothrus lineatus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	96				
	Stenobothrus grammicus	Stenobothrus grammicus	OTT	species	Stenobothrus grammicus	98	3499101		OTT	3499101	Stenobothrus	706823	142129	grammicus	3499101			Stenobothrus grammicus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	115				
	Stenobothrus nigromaculatus	Stenobothrus nigromaculatus	OTT	species	Stenobothrus nigromaculatus	98	869913	355409	OTT	869913	Stenobothrus	706823	142129	nigromaculatus	869913	355409		Stenobothrus nigromaculatus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	138				
	Omocestus viridulus	Omocestus viridulus	OTT	species	Omocestus viridulus	97	978104	294351	OTT	978104	Omocestus	452085	294349	viridulus	978104	294351		Omocestus viridulus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	139				
	Omocestus ventralis	Omocestus rufipes	OTT	species	Omocestus ventralis	97	621158	660956	OTT	621158	Omocestus	452085	294349	rufipes	621158	660956		Omocestus rufipes	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	169				
	Omocestus haemorrhoidalis	Omocestus haemorrhoidalis	OTT	species	Omocestus haemorrhoidalis	98	372079	294352	OTT	372079	Omocestus	452085	294349	haemorrhoidalis	372079	294352		Omocestus haemorrhoidalis	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	170				
	Omocestus raymondi	Omocestus raymondi	OTT	species	Omocestus raymondi	97	3498966	1312898	OTT	3498966	Omocestus	452085	294349	raymondi	3498966	1312898		Omocestus raymondi	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	176				
	Stauroderus scalaris	Stauroderus scalaris	OTT	species	Stauroderus scalaris	98	239797	7019	OTT	239797	Stauroderus	239795	7018	scalaris	239797	7019		Stauroderus scalaris	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	187				
	Chorthippus brunneus	Chorthippus brunneus	OTT	species	Chorthippus brunneus	98	412685	116142	OTT	412685	Chorthippus	815682	13008	brunneus	412685	116142		Chorthippus brunneus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	240				
	Chorthippus mollis	Chorthippus mollis	OTT	species	Chorthippus mollis	97	552806	294301	OTT	552806	Chorthippus	815682	13008	mollis	552806	294301		Chorthippus mollis	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	259				
	Chorthippus biguliulus	Chorthippus biguttulus	OTT	species	Chorthippus biguttulus	89	1003486	270253	OTT	1003486	Chorthippus	815682	13008	biguttulus	1003486	270253		Chorthippus biguttulus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	268				
	Chorthippus vagans	Chorthippus vagans	OTT	species	Chorthippus vagans	97	802531	355388	OTT	802531	Chorthippus	815682	13008	vagans	802531	355388		Chorthippus vagans	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	269				
	Chorthippus albomarginatus	Chorthippus albomarginatus	OTT	species	Chorthippus albomarginatus	98	552804	294303	OTT	552804	Chorthippus	815682	13008	albomarginatus	552804	294303		Chorthippus albomarginatus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	271				
	Chorthippus parallelus	Chorthippus parallelus	OTT	species	Chorthippus parallelus	98	456790	37639	OTT	456790	Chorthippus	815682	13008	parallelus	456790	37639		Chorthippus parallelus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	272				
	Chorthippus montanus	Chorthippus montanus	OTT	species	Chorthippus montanus	98	1085629	1045891	OTT	1085629	Chorthippus	815682	13008	montanus	1085629	1045891		Chorthippus montanus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	281				
	Chorthippus dorsatus	Chorthippus dorsatus	OTT	species	Chorthippus dorsatus	98	559073	1045884	OTT	559073	Chorthippus	815682	13008	dorsatus	559073	1045884		Chorthippus dorsatus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	283				
	Euchorthippus elegantulus	Euchorthippus elegantulus	OTT	species	Euchorthippus elegantulus	98	3498468		OTT	3498468	Euchorthippus	678816	122966	elegantulus	3498468			Euchorthippus elegantulus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	286				
	Euchorthippus pulvinatus	Euchorthippus pulvinatus	OTT	species	Euchorthippus pulvinatus	98	678815	122969	OTT	678815	Euchorthippus	678816	122966	pulvinatus	678815	122969		Euchorthippus pulvinatus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	293				
	Gomphocerippus rufus	Gomphocerippus rufus	OTT	species	Gomphocerippus rufus	98	800919	58560	OTT	800919	Gomphocerippus	277516	58559	rufus	800919	58560		Gomphocerippus rufus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	294				
	Gomphocerippus brevipennis	Gomphoceridius brevipennis	OTT	species	Gomphocerippus brevipennis	98	4182317		OTT	4182317	Gomphoceridius	4182316		brevipennis	4182317			Gomphoceridius brevipennis	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae			waloff1954number	295				
	Gomphocerippus sibiricus	Gomphocerippus	OTT	genus	Gomphocerippus	72	277516	58559	OTT	277516	Gomphocerippus	277516						Gomphocerippus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	298				
	Aeropedullus clavatus	Aeropedellus clavatus	OTT	species	Aeropedellus clavatus	93	720262	355363	OTT	720262	Aeropedellus	258206	355362	clavatus	720262	355363		Aeropedellus clavatus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	299				
	Myrmeleottetix maculatus	Myrmeleotettix maculatus	OTT	species	Myrmeleotettix maculatus	94	924771	1034393	OTT	924771	Myrmeleotettix	749105	573380	maculatus	924771	1034393		Myrmeleotettix maculatus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	312				
	Apoderus rubidus	Apoderus rubidus	OTT	species	Apoderus rubidus	97	5824983	1515447	OTT	5824983	Apoderus	160564	122772	rubidus	5824983	1515447		Apoderus rubidus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Endopterygota	Coleoptera	Polyphaga	Cucujiformia	Curculionoidea	Attelabidae	Apoderinae		Iwata1966	326				
	Apoderus balteatus	Apoderus balteatus	OTT	species	Apoderus balteatus	97	5048153	1515444	OTT	5048153	Apoderus	160564	122772	balteatus	5048153	1515444		Apoderus balteatus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Endopterygota	Coleoptera	Polyphaga	Cucujiformia	Curculionoidea	Attelabidae	Apoderinae		Iwata1966	327				
	Cycnotrachelus nitens	Conotrachelus	OTT	genus	Conotrachelus	69	632633	122891	OTT	632633	Conotrachelus	632633						Conotrachelus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Endopterygota	Coleoptera	Polyphaga	Cucujiformia	Curculionoidea	Curculionidae	Molytinae	Ithyporini	Iwata1966	332				
	Apoderus erythrogaster	Apoderus erythrogaster	OTT	species	Apoderus erythrogaster	98	5824981	1515445	OTT	5824981	Apoderus	160564	122772	erythrogaster	5824981	1515445		Apoderus erythrogaster	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Endopterygota	Coleoptera	Polyphaga	Cucujiformia	Curculionoidea	Attelabidae	Apoderinae		Iwata1966	333				
	Paratrachelophorus longicornis	Paratrachelophorus longicornis	OTT	species	Paratrachelophorus longicornis	98	5047936	1515467	OTT	5047936	Paratrachelophorus	4605805	1453298	longicornis	5047936	1515467		Paratrachelophorus longicornis	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Endopterygota	Coleoptera	Polyphaga	Cucujiformia	Curculionoidea	Attelabidae	Apoderinae		Iwata1966	334				
	Phymatapoderus pavens	Phymatapoderus	OTT	genus	Phymatapoderus	78	5815807	1515524	OTT	5815807	Phymatapoderus	5815807						Phymatapoderus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Endopterygota	Coleoptera	Polyphaga	Cucujiformia	Curculionoidea	Attelabidae	Apoderinae		Iwata1966	335				
	Involvulus pilosus	Involvulus pilosus	OTT	species	Involvulus pilosus	97	5824984	1515513	OTT	5824984	Involvulus	4605368	1515509	pilosus	5824984	1515513		Involvulus pilosus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Endopterygota	Coleoptera	Polyphaga	Cucujiformia	Curculionoidea	Attelabidae	Rhynchitinae		Iwata1966	336				
	Paraplapoderus pardalis	Paroplapoderus	OTT	genus	Paroplapoderus	68	4605670		OTT	4605670	Paroplapoderus	4605670						Paroplapoderus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Endopterygota	Coleoptera	Polyphaga	Cucujiformia	Curculionoidea	Attelabidae			Iwata1966	337				
	Aspidobystischus lacunipennis	Aspidobyctiscus lacunipennis	OTT	species	Aspidobyctiscus lacunipennis	93	4605341		OTT	4605341	Aspidobyctiscus	4605337		lacunipennis	4605341			Aspidobyctiscus lacunipennis	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Endopterygota	Coleoptera	Polyphaga	Cucujiformia	Curculionoidea	Attelabidae			Iwata1966	338				
	Dociostaurus maroccanus	Dociostaurus maroccanus	OTT	species	Dociostaurus maroccanus	98	278996	355370	OTT	278996	Dociostaurus	969376	37857	maroccanus	278996	355370		Dociostaurus maroccanus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Orthopteroidea	Orthoptera	Caelifera		Acridoidea	Acrididae	Gomphocerinae		waloff1954number	339				
	Apoderus jekelii	Apoderus jekelii	OTT	species	Apoderus jekelii	97	909364	1002002	OTT	909364	Apoderus	160564	122772	jekelii	909364	1002002		Apoderus jekelii	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Endopterygota	Coleoptera	Polyphaga	Cucujiformia	Curculionoidea	Attelabidae	Apoderinae		Iwata1966	340				
	Euops splendida	Euops	OTT	genus	Euops	48	3408066	701792	OTT	3408066	Euops	3408066						Euops	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Endopterygota	Coleoptera	Polyphaga	Cucujiformia	Curculionoidea	Attelabidae	Attelabinae		Iwata1966	341				
	Phialodes rufiepnnis	Phialodes rufipennis	OTT	species	Phialodes rufipennis	93	5046976	1515523	OTT	5046976	Phialodes	4605798	1515522	rufipennis	5046976	1515523		Phialodes rufipennis	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Endopterygota	Coleoptera	Polyphaga	Cucujiformia	Curculionoidea	Attelabidae	Attelabinae		Iwata1966	342				
	Byctiscus venustus	Byctiscus venustus	OTT	species	Byctiscus venustus	97	5046007	701789	OTT	5046007	Byctiscus	308691	701788	venustus	5046007	701789		Byctiscus venustus	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Endopterygota	Coleoptera	Polyphaga	Cucujiformia	Curculionoidea	Attelabidae	Rhynchitinae		Iwata1966	343				
