genus	species	subspecies	publication	ID	single_body	minimum_body	maximum_body	mean_body	deviation_body	order	measurement_type
Stenobothrus	lineatus		waloff1954number	96	22.5					Orthoptera	body_length
Stenobothrus	grammicus		waloff1954number	115	24					Orthoptera	body_length
Stenobothrus	nigromaculatus		waloff1954number	138	22.5					Orthoptera	body_length
Omocestus	viridulus		waloff1954number	139	22					Orthoptera	body_length
Omocestus	ventralis		waloff1954number	169	19					Orthoptera	body_length
Omocestus	haemorrhoidalis		waloff1954number	170	17.5					Orthoptera	body_length
Omocestus	raymondi		waloff1954number	176	22					Orthoptera	body_length
Stauroderus	scalaris		waloff1954number	187	27					Orthoptera	body_length
Chorthippus	brunneus		waloff1954number	240	19.5					Orthoptera	body_length
Chorthippus	mollis		waloff1954number	259	17.5					Orthoptera	body_length
Chorthippus	biguliulus		waloff1954number	268	18.5					Orthoptera	body_length
Chorthippus	vagans		waloff1954number	269	19					Orthoptera	body_length
Chorthippus	albomarginatus		waloff1954number	271	19.5					Orthoptera	body_length
Chorthippus	parallelus		waloff1954number	272	20					Orthoptera	body_length
Chorthippus	montanus		waloff1954number	281	20					Orthoptera	body_length
Chorthippus	dorsatus		waloff1954number	283	22.5					Orthoptera	body_length
Euchorthippus	elegantulus		waloff1954number	286	20					Orthoptera	body_length
Euchorthippus	pulvinatus		waloff1954number	293	22.5					Orthoptera	body_length
Gomphocerippus	rufus		waloff1954number	294	20.5					Orthoptera	body_length
Gomphocerippus	brevipennis		waloff1954number	295	20					Orthoptera	body_length
Gomphocerippus	sibiricus		waloff1954number	298	22					Orthoptera	body_length
Aeropedullus	clavatus		waloff1954number	299	22					Orthoptera	body_length
Myrmeleottetix	maculatus		waloff1954number	312	14					Orthoptera	body_length
Apoderus	rubidus		iwata1966large	326	3.2					Coleoptera	elytra_length
Apoderus	balteatus		iwata1966large	327	3.44					Coleoptera	elytra_length
Cycnotrachelus	nitens		iwata1966large	332	3.69					Coleoptera	elytra_length
Apoderus	erythrogaster		iwata1966large	333	2.95					Coleoptera	elytra_length
