order	family	genus	species	weight	fecundity	ID
Coleoptera	Anobiidae	Anobium	punctatum	1.43	55	001
Coleoptera	Bruchidae	Acanthoscelides	obtectus	5.65	68	002
Coleoptera	Buprestidae	Capnodis	tenebrionis	234.52	279	003
Coleoptera	Buprestidae	Coraebus	rubi	33.16	56	004
Coleoptera	Byturidae	Byturus	tomentosus	5.9	83.5	005
Coleoptera	Carabidae	Calosoma	sycophanta	305.9	1959	006
Coleoptera	Carabidae	Lebia	grandis	21.58	1300	007
Coleoptera	Cerambycidae	Oberia	erythrocephala	20.48	40	008
Coleoptera	Chrysomelidae	Ambrostoma	quadriimpressum	53.93	500	009
Coleoptera	Chrysomelidae	Galerucella	calmariensis	5.65	350	010
Coleoptera	Chrysomelidae	Galerucella	pusilla	4.76	350	011
Coleoptera	Chrysomelidae	Gonioctena	japonica	21.51	40.6	012
Coleoptera	Chrysomelidae	Gonioctena	olivacea	16.91	600	013
Coleoptera	Chrysomelidae	Leptinotarsa	decemlineata	49.63	1000	014
Coleoptera	Cleridae	Necrobia	rufipes	8.05	89.59	015
Coleoptera	Coccinellidae	Adalia	bipunctata	7.51	537	016
Coleoptera	Coccinellidae	Chilocorus	nigritus	5.79	289.5	017
Coleoptera	Coccinellidae	Coccinella	septempunctata	26.38	700	018
Coleoptera	Coccinellidae	Coleomegilla	maculata	3.44	600	019
Coleoptera	Coccinellidae	Cryptolaemus	montrouzieri	1.07	439	020
Coleoptera	Coccinellidae	Exochomus	flavipes	7.26	137	021
Coleoptera	Coccinellidae	Harmonia	axyridis	27.17	560.5	022
Coleoptera	Coccinellidae	Hippodamia	convergens	3.44	221	023
Coleoptera	Coccinellidae	Leis	conformis	17.03	904	024
Coleoptera	Coccinellidae	Rodolia	cardinalis	0.89	165	025
Coleoptera	Curculionidae	Anthonomus	pomorum	4.62	53	026
Coleoptera	Curculionidae	Cyphocleonus	achates	76.49	65	027
Coleoptera	Curculionidae	Gymnetron	antirrhini	2.89	54	028
Coleoptera	Curculionidae	Gymnetron	netum	4.37	45	029
Coleoptera	Curculionidae	Hylobius	transversovittatus	37.39	200	030
Coleoptera	Curculionidae	Hypera	nigrirostris	4.37	83	031
Coleoptera	Curculionidae	Neochetina	bruchi	8.62	200	032
Coleoptera	Curculionidae	Neochetina	eichhorniae	11.98	200	033
Coleoptera	Curculionidae	Oxyops	vitiosa	38.42	470	034
Coleoptera	Curculionidae	Phytonomus	meles	7.88	252	035
Coleoptera	Curculionidae	Rhinocyllus	conicus	14.29	150	036
Coleoptera	Curculionidae	Sitophilus	granarius	3.44	231	037
Coleoptera	Curculionidae	Sitophilus	oryzae	3.57	62	038
Coleoptera	Curculionidae	Trichosirocalus	horridus	16.02	800	039
Coleoptera	Dermestidae	Anthrenus	museorum	2.69	22	040
Coleoptera	Dermestidae	Anthrenus	verbasci	2.94	60	041
Coleoptera	Dermestidae	Attagenus	pellio	9.85	50	042
Coleoptera	Dermestidae	Attagenus	piceus	8.62	83	043
Coleoptera	Dermestidae	Dermestes	lardarius	19.77	138	044
Coleoptera	Dermestidae	Trogoderma	granarium	1.88	40	045
Coleoptera	Dermestidae	Trogoderma	versicolor	8.74	108.5	046
Coleoptera	Derodontidae	Laricobius	erichsonii	0.71	50	047
