problem	name	updated_fullname	taxonomy_source	rank_matched	matched	score	ott_id	ncbi_id	name_source	matched_id_in_source	updated_genus	updated_genus_ott_id	updated_genus_ncbi_id	updated_species	updated_species_ott_id	updated_species_ncbi_id	ott_accepted_name	ott_version	higher_source	domain	kingdom	phylum	subphylum	class	subclass	infraclass	superorder	order	suborder	infraorder	parvorder	superfamily	family	subfamily	tribe	subtribe	ID	subgenus	section
	Anobium punctatum	Anobium punctatum	OTT	species	Anobium punctatum	100	224216	877859	OTT	224216	Anobium	224210	877857	punctatum	224216	877859	Anobium punctatum	ott3.1draft2	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Bostrichiformia		Bostrichoidea	Anobiidae	Anobiinae			1		
	Acanthoscelides obtectus	Acanthoscelides obtectus	OTT	species	Acanthoscelides obtectus	100	972187	200917	OTT	972187	Acanthoscelides	972186	200916	obtectus	972187	200917	Acanthoscelides obtectus	ott3.1draft2	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Cucujiformia		Chrysomeloidea	Chrysomelidae	Bruchinae	Bruchini		2		
	Capnodis tenebrionis	Capnodis tenebrionis	OTT	species	Capnodis tenebrionis	100	7172334	1366398	OTT	7172334	Capnodis	3416040	1366397	tenebrionis	7172334	1366398	Capnodis tenebrionis	ott3.1draft2	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Elateriformia		Buprestoidea	Buprestidae	Chrysochroinae			3		
	Coraebus rubi	Coraebus rubi	OTT	species	Coraebus rubi	100	484270	1166677	OTT	484270	Coraebus	42475	341964	rubi	484270	1166677	Coraebus rubi	ott3.1draft2	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Elateriformia		Buprestoidea	Buprestidae	Agrilinae			4		
	Byturus tomentosus	Byturus tomentosus	OTT	species	Byturus tomentosus	100	796619	153020	OTT	796619	Byturus	323125	153016	tomentosus	796619	153020	Byturus tomentosus	ott3.1draft2	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Cucujiformia		Cleroidea	Byturidae				5		
	Calosoma sycophanta	Calosoma sycophanta	OTT	species	Calosoma sycophanta	100	261228	287701	OTT	261228	Calosoma	407045	49408	sycophanta	261228	287701	Calosoma sycophanta	ott3.1draft2	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Caraboidea	Carabidae	Carabinae	Carabini	Calosomina	6		
	Lebia grandis	Lebia grandis	OTT	species	Lebia grandis	100	540408	270616	OTT	540408	Lebia	417463	170283	grandis	540408	270616	Lebia grandis	ott3.1draft2	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera		Coleoptera	Adephaga			Caraboidea	Carabidae	Lebiinae	Lebiini		7		
	Oberia erythrocephala	Oberea erythrocephala	OTT	species	Oberea erythrocephala	95	3361914		OTT	3361914	Oberea	192246	186083	erythrocephala	3361914		Oberea erythrocephala	ott3.1draft2	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Cucujiformia		Chrysomeloidea	Cerambycidae	Lamiinae	Obreini		8		
	Ambrostoma quadriimpressum	Ambrostoma quadriimpressum	OTT	species	Ambrostoma quadriimpressum	100	4601439	111370	OTT	4601439	Ambrostoma	4601438	111369	quadriimpressum	4601439	111370	Ambrostoma quadriimpressum	ott3.1draft2	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Cucujiformia		Chrysomeloidea	Chrysomelidae	Chrysomelinae	Doryphorini		9		
	Galerucella calmariensis	Galerucella calmariensis	OTT	species	Galerucella calmariensis	100	1089431	161252	OTT	1089431	Galerucella	506083	131644	calmariensis	1089431	161252	Galerucella calmariensis	ott3.1draft2	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Cucujiformia		Chrysomeloidea	Chrysomelidae	Galerucinae	Galerucini		10		
	Galerucella pusilla	Galerucella pusilla	OTT	species	Galerucella pusilla	100	1089428	161253	OTT	1089428	Galerucella	506083	131644	pusilla	1089428	161253	Galerucella pusilla	ott3.1draft2	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Cucujiformia		Chrysomeloidea	Chrysomelidae	Galerucinae	Galerucini		11		
	Gonioctena japonica	Gonioctena japonica	OTT	species	Gonioctena japonica	100	291002	222435	OTT	291002	Gonioctena	983910	63688	japonica	291002	222435	Gonioctena japonica	ott3.1draft2	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Cucujiformia		Chrysomeloidea	Chrysomelidae	Chrysomelinae	Chrysomelini		12		
	Gonioctena olivacea	Gonioctena olivacea	OTT	species	Gonioctena olivacea	100	457812	63697	OTT	457812	Gonioctena	983910	63688	olivacea	457812	63697	Gonioctena olivacea	ott3.1draft2	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Cucujiformia		Chrysomeloidea	Chrysomelidae	Chrysomelinae	Chrysomelini		13		
	Leptinotarsa decemlineata	Leptinotarsa decemlineata	OTT	species	Leptinotarsa decemlineata	100	185597	7539	OTT	185597	Leptinotarsa	30409	7538	decemlineata	185597	7539	Leptinotarsa decemlineata	ott3.1draft2	OTT	Eukaryota	Metazoa	Arthropoda	Hexapoda	Insecta	Pterygota	Neoptera		Coleoptera	Polyphaga	Cucujiformia		Chrysomeloidea	Chrysomelidae	Chrysomelinae	Doryphorini		14		
