order	group
Lepidoptera	Amphiesmenoptera
Trichoptera	Amphiesmenoptera
Mecoptera	Antliophora
Diptera	Antliophora
Siphonaptera	Antliophora
Neuroptera	Neuropteroidea
Megaloptera	Neuropteroidea
Coleoptera	Neuropteroidea
Raphidioptera	Neuropteroidea
Strepsiptera	Neuropteroidea
Orthoptera	Polyneoptera
Plecoptera	Polyneoptera
Blattodea	Polyneoptera
Isoptera	Polyneoptera
Phasmatodea	Polyneoptera
Zoraptera	Polyneoptera
Grylloblattodea	Polyneoptera
Mantophasmatodea	Polyneoptera
Dermaptera	Polyneoptera
Mantodea	Polyneoptera
Embioptera	Polyneoptera
Odonata	Palaeoptera
Ephemeroptera	Palaeoptera
Archaeognatha	Apterygota
Zygentoma	Apterygota
Collembola	Apterygota
Diplura	Apterygota
Protura	Apterygota
Hymenoptera	Hymenoptera
Thysanoptera	Condylognatha
Hemiptera	Condylognatha
Psocoptera	Psocodea
Phthiraptera	Psocodea
