genus	original_genus	order	ovary	family	
Machilis	Machilis	Archaeognatha	P	Machilidae
Petrobius	Pretobius	Archaeognatha	P	Machilidae
Blatta	Blatta	Blattodea	P	Blattidae
Periplaneta	Periplaneta	Blattodea	P	Blattidae
Kalotermes	Kalotermes	Blattodea	P	Kalotermitidae
Odontotermes	Odontotermes	Blattodea	P	Termitidae
Hedobia	Hebodia	Coleoptera	TM	Anobiidae
Byturus	Byturus	Coleoptera	TM	Byturidae
Agonum	Agonum	Coleoptera	PM	Carabidae
Carabus	Carabus	Coleoptera	PM	Carabidae
Cicindela	Cicindela	Coleoptera	PM	Carabidae
Gaurotes	Gaurotes	Coleoptera	TM	Cerambycidae
Bruchidius	Bruchidius	Coleoptera	TM	Chrysomelidae
Leptinotarsa	Leptinotarsa	Coleoptera	TM	Chrysomelidae
Coccinella	Coccinella	Coleoptera	TM	Coccinellidae
Ips	Ips	Coleoptera	TM	Curculionidae
Phyllobius	Phyllobius	Coleoptera	TM	Curculionidae
Dermestes	Dermestes	Coleoptera	TM	Dermestidae
Dytiscus	Dytiscus	Coleoptera	PM	Dytiscidae
Sericus	Sericus	Coleoptera	TM	Elateridae
Elmis	Elmis	Coleoptera	TM	Elmidae
Gyrinus	Gyrunis	Coleoptera	PM	Gyrinidae
Cercyon	Cercyon	Coleoptera	TM	Hydrophilidae
Hygrobia	Hygrobia	Coleoptera	PM	Hygrobiidae
Meloe	Meloe	Coleoptera	TM	Meloidae
Psilothrix	Psilotrix	Coleoptera	TM	Melyridae
Ischnomera	Ischnomera	Coleoptera	TM	Oedemeridae
Aphodius	Aphodius	Coleoptera	TM	Scarabaeidae
Anaspis	Anaspis	Coleoptera	TM	Scraptiidae
Silpha	Silpha	Coleoptera	TM	Silphidae
Uleiota	Uleiota	Coleoptera	TM	Silvanidae
Creophilus	Creophilus	Coleoptera	TM	Staphylinidae
Scaphidium	Scaphidium	Coleoptera	TM	Staphylinidae
Isomira	Isomina	Coleoptera	TM	Tenebrionidae
Tenebrio	Tenebrio	Coleoptera	TM	Tenebrionidae
Anisolabis	Anisolabis	Dermaptera	PM	Anisolabididae
Forficula	Forficula	Dermaptera	PM	Forficulidae
Calliphora	Calliphora	Diptera	PM	Calliphoridae
Heteropeza	Heteropeza	Diptera	PM	Cecidomyiidae
Miastor	Miastor	Diptera	PM	Cecidomyiidae
Mikiola	Mikiola	Diptera	PM	Cecidomyiidae
