ID	publication	name	updated_fullname	taxonomy_source	rank_matched	matched	score	ott_id	ncbi_id	name_source	matched_id_in_source	updated_genus	updated_genus_ott_id	updated_genus_ncbi_id	updated_species	updated_species_ott_id	updated_species_ncbi_id	updated_subspecies	ott_accepted_name	ott_version	higher_source	domain	kingdom	phylum	subphylum	superclass	class	subclass	infraclass	superorder	order	suborder	infraorder	parvorder	superfamily	family	subfamily	tribe	subtribe	species subgroup	species group	subgenus	section	genus	subsection
1	genc2004artificial	Phyciodes phaon	Phyciodes phaon	OTT	species	Phyciodes phaon	100	615544	113352	OTT	615544	Phyciodes	581043	42277	phaon	615544	113352		Phyciodes phaon	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota	Amphiesmenoptera	Lepidoptera	Glossata	Neolepidoptera	Heteroneura	Papilionoidea	Nymphalidae	Nymphalinae	Melitaeini	Phyciodina						
3	hodin2000different	Drosophila melanogaster	Drosophila melanogaster	OTT	species	Drosophila melanogaster	100	505714	7227	OTT	505714	Drosophila	34907	7215	melanogaster	505714	7227		Drosophila melanogaster	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Diptera	Brachycera	Muscomorpha		Ephydroidea	Drosophilidae	Drosophilinae	Drosophilini		melanogaster subgroup	melanogaster group	Sophophora	Schizophora		
4	hodin2000different	Drosophila melanogaster	Drosophila melanogaster	OTT	species	Drosophila melanogaster	100	505714	7227	OTT	505714	Drosophila	34907	7215	melanogaster	505714	7227		Drosophila melanogaster	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Diptera	Brachycera	Muscomorpha		Ephydroidea	Drosophilidae	Drosophilinae	Drosophilini		melanogaster subgroup	melanogaster group	Sophophora	Schizophora		
5	hodin2000different	Drosophila simulans	Drosophila simulans	OTT	species	Drosophila simulans	100	660828	7240	OTT	660828	Drosophila	34907	7215	simulans	660828	7240		Drosophila simulans	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Diptera	Brachycera	Muscomorpha		Ephydroidea	Drosophilidae	Drosophilinae	Drosophilini		melanogaster subgroup	melanogaster group	Sophophora	Schizophora		
6	hodin2000different	Drosophila melanogaster	Drosophila melanogaster	OTT	species	Drosophila melanogaster	100	505714	7227	OTT	505714	Drosophila	34907	7215	melanogaster	505714	7227		Drosophila melanogaster	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Diptera	Brachycera	Muscomorpha		Ephydroidea	Drosophilidae	Drosophilinae	Drosophilini		melanogaster subgroup	melanogaster group	Sophophora	Schizophora		
7	hodin2000different	Drosophila mauritiana	Drosophila mauritiana	OTT	species	Drosophila mauritiana	100	505718	7226	OTT	505718	Drosophila	34907	7215	mauritiana	505718	7226		Drosophila mauritiana	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Diptera	Brachycera	Muscomorpha		Ephydroidea	Drosophilidae	Drosophilinae	Drosophilini		melanogaster subgroup	melanogaster group	Sophophora	Schizophora		
8	hodin2000different	Drosophila sechellia	Drosophila sechellia	OTT	species	Drosophila sechellia	100	1082282	7238	OTT	1082282	Drosophila	34907	7215	sechellia	1082282	7238		Drosophila sechellia	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Diptera	Brachycera	Muscomorpha		Ephydroidea	Drosophilidae	Drosophilinae	Drosophilini		melanogaster subgroup	melanogaster group	Sophophora	Schizophora		
9	hodin2000different	Drosophila yakuba	Drosophila yakuba	OTT	species	Drosophila yakuba	100	660820	7245	OTT	660820	Drosophila	34907	7215	yakuba	660820	7245		Drosophila yakuba	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Diptera	Brachycera	Muscomorpha		Ephydroidea	Drosophilidae	Drosophilinae	Drosophilini		melanogaster subgroup	melanogaster group	Sophophora	Schizophora		
15	ueno1994comparative	Pimpla nipponica	Pimpla nipponica	OTT	species	Pimpla nipponica	100	390108	67752	OTT	390108	Pimpla	390110	67751	nipponica	390108	67752		Pimpla nipponica	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Pimplinae	Pimplini							
16	ueno1994comparative	Pimpla alboannulata	Pimpla alboannulata	OTT	species	Pimpla alboannulata	100	988819	495386	OTT	988819	Pimpla	390110	67751	alboannulata	988819	495386		Pimpla alboannulata	ott3.0draft6	OTT	Eukaryota	Metazoa	Arthropoda		Hexapoda	Insecta	Pterygota	Endopterygota		Hymenoptera	Apocrita			Ichneumonoidea	Ichneumonidae	Pimplinae	Pimplini							
