ID	publication	order	genus	species	subspecies	single_on	mean_on	deviation_on	minimum_on	maximum_on	n	max_reported_internal_diff	condition	problem	data_notes	text_notes
1	genc2004artificial	Lepidoptera	Phyciodes	phaon		8									four ovarioles in each of two ovaries	four ovarioles in each of two ovaries
3	hodin2000different	Diptera	Drosophila	melanogaster			21.3	0.6					Capitol Hill full food			
4	hodin2000different	Diptera	Drosophila	melanogaster			18.6	0.5					Nahal			
5	hodin2000different	Diptera	Drosophila	simulans			15.5	0.5					st			
6	hodin2000different	Diptera	Drosophila	melanogaster			18.9	0.3					Honduras			
7	hodin2000different	Diptera	Drosophila	mauritiana			12.9	0.5								
8	hodin2000different	Diptera	Drosophila	sechellia			8.5	0.2								
9	hodin2000different	Diptera	Drosophila	yakuba			12.9	0.2								
15	ueno1994comparative	Hymenoptera	Pimpla	nipponica			12.1	1			64					
16	ueno1994comparative	Hymenoptera	Pimpla	alboannulata			10.8	1.4			12					
17	ueno1994comparative	Hymenoptera	Pimpla	pluto			10.7	1.2			13					
18	ueno1994comparative	Hymenoptera	Pimpla	luctuosa			12.7	2.1			41					
19	ueno1994comparative	Hymenoptera	Itoplectis	naranyae			17.2	3.4			42					
20	ueno1994comparative	Hymenoptera	Itoplectis	alternans	spectabilis		16	2.6			20					
21	ware2008effects	Coleoptera	Harmonia	axyridis		31									Median values only recorded	Each ovary was examined separately, and ovarioles were counted by carefully removing and destroying each one in turn using fine mounted entomological pins. The larger of the two ovariole counts obtained for each individual was used in further analysis
22	ware2008effects	Coleoptera	Adalia	bipunctata		24									Median values only recorded	Each ovary was examined separately, and ovarioles were counted by carefully removing and destroying each one in turn using fine mounted entomological pins. The larger of the two ovariole counts obtained for each individual was used in further analysis
23	hill2002phylogenetic	Lepidoptera	Panacea	bleuzeni		8									counted from drawing	
24	hill2002phylogenetic	Lepidoptera	Batesia	hypochlora		49									counted from drawing, larger number plus or minus 1, 23 in bottom, 26 in top	
25	mazurkiewicz2010differentiation	Lepidoptera	Pieris	napi		8										
26	mazurkiewicz2010differentiation	Lepidoptera	Melitaea	athalia		8										
27	ziegler2006lipid	Lepidoptera	Manduca	sexta		16										In M. sexta, each ovary contains 8 ovarioles with a large number of oocytes, which continuously mature by incorporating lipids and proteins
28	hodin2000plasticity	Diptera	Drosophila	melanogaster					32	46						the mean ovariole number varies among populations of D. melanogaster from 16 to 23 per ovary
29	hodin2000plasticity	Diptera	Drosophila	sechellia					16	18						the most derived member of the species (Caccone et al., '96), the island species D. schellia has only 8-9 ovarioles per ovary
30	makert2006ovariole	Hymenoptera	Apis	mellifera					4	24			workers raised away from queen	worker		
31	sadeghi2002relationship	Diptera	Syrphus	ribesii					61	120						
32	tanton1984effects	Coleoptera	Paropsis	atomaria					58	66	122					Dissection of dead mated and virgin females from treatments on 23 February 1976 (n= 122) indicated that neither DDT nor fenitrothion affected the number of ovarioles (29-33 per ovary)
33	dunlap1977ovarian	Lepidoptera	Heliconius			8										
34	dunlap1977ovarian	Lepidoptera	Dryas			8										ovarian morphology conforms to details for other lepidoptera
35	stay1965protein	Lepidoptera	Hyalophora	cecropia		8										
