Search term	Number of pages examined
Archaeognatha ovariole number	3	
Blattodea ovariole number	3	
Attelabidae ovariole number	1
Bolboceratidae ovariole number	3
Buprestidae ovariole number	1
Carabidae ovariole number	3
Cerambycidae ovariole number	3
Chrysomelidae ovariole number	3
Cicindelidae ovariole number	1
Cicindelinae ovariole number	1
Cleridae ovariole number	1
Cupedidae ovariole number	1
Curculionidae ovariole number	3
Elateridae ovariole number	1
Geotrupidae ovariole number	1
Hydrophilidae ovariole number	1
Hydroscaphidae ovariole number	1
Lampyridae ovariole number	1
Meloidae ovariole number	3
Ptiliidae ovariole number	1
Ommatidae ovariole number	1
Scarabaeidae ovariole number	3
Scarabaeoidea ovariole number	1
Staphylinidae ovariole number	3
Tenebrionidae ovariole number	3
Collembola ovariole number	1	
Dermaptera ovariole number	1	
Diplura ovariole number	1	
Asilidae ovariole number	1
Bombyliidae ovariole number	1
Calliphoridae ovariole number	3
Chironomidae ovariole number	1
Culicidae ovariole number	3
Drosophilidae ovariole number	3
Muscidae ovariole number	3
Oestridae ovariole number	1
Psychodidae ovariole number	3
Sepsidae ovariole number	3
Simuliidae ovariole number	3
Sphaeroceridae ovariole number	1
Syrphidae ovariole number	3
Tabanidae ovariole number	1
Tachinidae ovariole number	3
Tephritidae ovariole number	1
Embioptera ovariole number	1	
Ephemeroptera ovariole number	3	
Grylloblattodea ovariole number	1	
Aleyrodidae ovariole number	1
Aphididae ovariole number	1
Cicadidae ovariole number	1
Coccidae ovariole number	3
Coccoidea ovariole number	1
Coreidae ovariole number	3
Corixidae ovariole number	1
Gerridae ovariole number	1
Lygaeidae ovariole number	3
Membracidae ovariole number	1
Miridae ovariole number	1
Nepidae ovariole number	1
Pentatomidae ovariole number	3
Psyllidae ovariole number	1
Reduviidae ovariole number	1
Rhyparochromidae ovariole number	1
Tingidae ovariole number	1
Apidae ovariole number	3
Apoidea ovariole number	1
Braconidae ovariole number	3
Chalcididae ovariole number	1
Crabronidae ovariole number	1
Cynipidae ovariole number	1
Encyrtidae ovariole number	1
Eulophidae ovariole number	1
Formicidae ovariole number	1
Halictidae ovariole number	1
Ichneumonidae ovariole number	3
Megachilidae ovariole number	1
Mutillidae ovariole number	1
Orussidae ovariole number	1
Platygastridae ovariole number	1
Pompilidae ovariole number	1
Siricidae ovariole number	1
Sphecidae ovariole number	1
Tenthredinidae ovariole number	1
Vespidae ovariole number	3
Isoptera ovariole number	3	
Gelechiidae ovariole number	1
Geometridae ovariole number	3
Hesperiidae ovariole number	3
Lasiocampidae ovariole number	3
Lycaenidae ovariole number	3
Noctuidae ovariole number	3
Notodontidae ovariole number	1
Nymphalidae ovariole number	3
Papilionidae ovariole number	3
Pieridae ovariole number	3
Pyralidae ovariole number	1
Riodinidae ovariole number	3
Saturniidae ovariole number	1
Sphingidae ovariole number	1
Mantodea ovariole number	3	
Mantophasmatodea ovariole number	1	
Mecoptera ovariole number	3	
Corydalidae ovariole number	1
Sialidae ovariole number	1
Megaloptera ovariole number	3	
Ascalaphidae ovariole number	3
Chrysopidae ovariole number	3
Mantispidae ovariole number	1
Myrmeleontidae ovariole number	1
Neuroptera ovariole number	3	
Caenogrionidae ovariole number	3
Gomphidae ovariole number	1
Lestidae ovariole number	1
Libellulidae ovariole number	3
Acrididae ovariole number	3
Cylindrachetidae ovariole number	1
Gryllidae ovariole number	3
Tettigoniidae ovariole number	1
Phasmatodea ovariole number	3	
Phasmida ovariole number	3	
Phthiraptera ovariole number	3	
Plecoptera ovariole number	3	
Protura ovariole number	3	
Psocodea ovariole number	3	
Raphidioptera ovariole number	3	
Siphonaptera ovariole number	3	
Strepsiptera ovariole number	3	
Thysanoptera ovariole number	3	
Trichoptera ovariole number	3	
Zoraptera ovariole number	1	
Zygentoma ovariole number	3	
